Protein,logFC,AveExpr,t,P.Value,B,group_effect,group_pvalue,time_effect,time_pvalue,interaction_effect,interaction_pvalue,aic,bic,n_obs,test_method,adj.P.Val,Significant,Significance,Description,Gene,Protein Gene,UniProt_Accession,UniProt_Entry_Name,UniProt_Database
sp|Q16363|LAMA4_HUMAN,-0.6217888062937224,16.865512883309766,,4.8262767669660096e-12,,-0.6217888062937224,4.8262767669660096e-12,,,,,,,29,Mixed-effects model (Wald F-test on time),1.1003911028682501e-08,True,Highly significant (FDR < 0.01),Laminin subunit alpha-4,LAMA4,LAMA4,Q16363,LAMA4_HUMAN,SwissProt
sp|Q9C0H2|TTYH3_HUMAN,0.4643199974875535,14.966473973799276,,5.031895035541615e-09,,0.4643199974875535,5.031895035541615e-09,,,,,,,29,Mixed-effects model (Wald F-test on time),5.2975376918198925e-06,True,Highly significant (FDR < 0.01),Protein tweety homolog 3,TTYH3,TTYH3,Q9C0H2,TTYH3_HUMAN,SwissProt
sp|Q13201|MMRN1_HUMAN,-0.4042785318410145,23.74715633154751,,6.9704443313419635e-09,,-0.4042785318410145,6.9704443313419635e-09,,,,,,,29,Mixed-effects model (Wald F-test on time),5.2975376918198925e-06,True,Highly significant (FDR < 0.01),Multimerin-1,MMRN1,MMRN1,Q13201,MMRN1_HUMAN,SwissProt
sp|P04217|A1BG_HUMAN,0.7954694762519172,19.94779052340274,,3.6037500843552396e-07,,0.7954694762519172,3.6037500843552396e-07,,,,,,,29,Mixed-effects model (Wald F-test on time),0.00020541375480824864,True,Highly significant (FDR < 0.01),Alpha-1B-glycoprotein,A1BG,A1BG,P04217,A1BG_HUMAN,SwissProt
sp|Q9UBX5|FBLN5_HUMAN,0.9095783391212647,15.512517600842171,,7.272505407153384e-07,,0.9095783391212647,7.272505407153384e-07,,,,,,,29,Mixed-effects model (Wald F-test on time),0.00033046964370482047,True,Highly significant (FDR < 0.01),Fibulin-5,FBLN5,FBLN5,Q9UBX5,FBLN5_HUMAN,SwissProt
sp|P03952|KLKB1_HUMAN,0.5672928076599385,19.515365565539685,,8.696569571179486e-07,,0.5672928076599385,8.696569571179486e-07,,,,,,,29,Mixed-effects model (Wald F-test on time),0.00033046964370482047,True,Highly significant (FDR < 0.01),Plasma kallikrein,KLKB1,KLKB1,P03952,KLKB1_HUMAN,SwissProt
sp|P55268|LAMB2_HUMAN,0.2713789368734486,17.13929102615521,,2.392551184737109e-06,,0.2713789368734486,2.392551184737109e-06,,,,,,,29,Mixed-effects model (Wald F-test on time),0.0007729877883229737,True,Highly significant (FDR < 0.01),Laminin subunit beta-2,LAMB2,LAMB2,P55268,LAMB2_HUMAN,SwissProt
sp|Q16610|ECM1_HUMAN,1.5848220861135005,20.989521573938426,,2.71223785376482e-06,,1.5848220861135005,2.71223785376482e-06,,,,,,,29,Mixed-effects model (Wald F-test on time),0.0007729877883229737,True,Highly significant (FDR < 0.01),Extracellular matrix protein 1,ECM1,ECM1,Q16610,ECM1_HUMAN,SwissProt
sp|Q13884|SNTB1_HUMAN,-0.5131893400986163,11.31699717073396,,5.102142647055349e-06,,-0.5131893400986163,5.102142647055349e-06,,,,,,,29,Mixed-effects model (Wald F-test on time),0.0012925428039206885,True,Highly significant (FDR < 0.01),Beta-1-syntrophin,SNTB1,SNTB1,Q13884,SNTB1_HUMAN,SwissProt
sp|P07996|TSP1_HUMAN,0.2965829060239272,23.605628325504153,,9.341543027357604e-06,,0.2965829060239272,9.341543027357604e-06,,,,,,,29,Mixed-effects model (Wald F-test on time),0.0021298718102375335,True,Highly significant (FDR < 0.01),Thrombospondin-1,THBS1,THBS1,P07996,TSP1_HUMAN,SwissProt
sp|A0A0C4DH24|KV621_HUMAN,0.666540174469411,15.15455457366037,,1.0326279258379017e-05,,0.666540174469411,1.0326279258379017e-05,,,,,,,29,Mixed-effects model (Wald F-test on time),0.0021403560644640144,True,Highly significant (FDR < 0.01),Immunoglobulin kappa variable 6-21,IGKV6-21,IGKV6-21,A0A0C4DH24,KV621_HUMAN,SwissProt
sp|P02747|C1QC_HUMAN,0.8644742130565605,17.56066206891854,,1.3642619293113982e-05,,0.8644742130565605,1.3642619293113982e-05,,,,,,,29,Mixed-effects model (Wald F-test on time),0.002513585662186504,True,Highly significant (FDR < 0.01),Complement C1q subcomponent subunit C,C1QC,C1QC,P02747,C1QC_HUMAN,SwissProt
sp|P08670|VIME_HUMAN,0.8263384120360006,17.91067261254031,,1.4331848073870418e-05,,0.8263384120360006,1.4331848073870418e-05,,,,,,,29,Mixed-effects model (Wald F-test on time),0.002513585662186504,True,Highly significant (FDR < 0.01),Vimentin,VIM,VIM,P08670,VIME_HUMAN,SwissProt
sp|P02746|C1QB_HUMAN,0.9406276187059328,16.461689531532826,,2.1055239721658523e-05,,0.9406276187059328,2.1055239721658523e-05,,,,,,,29,Mixed-effects model (Wald F-test on time),0.003428996183241531,True,Highly significant (FDR < 0.01),Complement C1q subcomponent subunit B,C1QB,C1QB,P02746,C1QB_HUMAN,SwissProt
sp|Q8TD06|AGR3_HUMAN,-1.1415799884760043,14.20628288454842,,2.5668624250413455e-05,,-1.1415799884760043,2.5668624250413455e-05,,,,,,,29,Mixed-effects model (Wald F-test on time),0.0039016308860628456,True,Highly significant (FDR < 0.01),Anterior gradient protein 3,AGR3,AGR3,Q8TD06,AGR3_HUMAN,SwissProt
sp|P11047|LAMC1_HUMAN,-0.4853838822288975,20.373148701158108,,5.370172122066829e-05,,-0.4853838822288975,5.370172122066829e-05,,,,,,,29,Mixed-effects model (Wald F-test on time),0.007065404673395329,True,Highly significant (FDR < 0.01),Laminin subunit gamma-1,LAMC1,LAMC1,P11047,LAMC1_HUMAN,SwissProt
sp|P22607|FGFR3_HUMAN,0.3587412784751175,14.798110154210827,,5.663996584658187e-05,,0.3587412784751175,5.663996584658187e-05,,,,,,,29,Mixed-effects model (Wald F-test on time),0.007065404673395329,True,Highly significant (FDR < 0.01),Fibroblast growth factor receptor 3,FGFR3,FGFR3,P22607,FGFR3_HUMAN,SwissProt
sp|P27918|PROP_HUMAN,0.5808410158251065,15.21392597810869,,5.7911153241567495e-05,,0.5808410158251065,5.7911153241567495e-05,,,,,,,29,Mixed-effects model (Wald F-test on time),0.007065404673395329,True,Highly significant (FDR < 0.01),Properdin,CFP,CFP,P27918,PROP_HUMAN,SwissProt
sp|P08697|A2AP_HUMAN,0.6522194727283591,24.07055563293542,,5.968120601703257e-05,,0.6522194727283591,5.968120601703257e-05,,,,,,,29,Mixed-effects model (Wald F-test on time),0.007065404673395329,True,Highly significant (FDR < 0.01),Alpha-2-antiplasmin,SERPINF2,SERPINF2,P08697,A2AP_HUMAN,SwissProt
sp|P02745|C1QA_HUMAN,0.9729128734279346,16.195602015850906,,6.1977233977152e-05,,0.9729128734279346,6.1977233977152e-05,,,,,,,29,Mixed-effects model (Wald F-test on time),0.007065404673395329,True,Highly significant (FDR < 0.01),Complement C1q subcomponent subunit A,C1QA,C1QA,P02745,C1QA_HUMAN,SwissProt
